kpiID,expectedTrend,name,action,schedule,vector,toolName,isGroupBy,groupByFieldName,groupByField,averageField,startTimeField,endTimeField,resultOutPutType,isComparisionKpi,neo4jQuery,timeFormat,neo4jLabel,nextRun,lastRunTime,isActive
144,DOWNWARDS,Minimum Deployment Time,MINMAX,DAILY,DEPLOYMENT,RUNDECK,false,,,,SPKstartTime,SPKendTime,time,true,"MATCH (n:RUNDECK:DATA) WHERE n.SPKvector = 'DEPLOYMENT' and n.SPKstatus='Success' RETURN COALESCE(Min(toInt(n.SPKduration)),0) as minMaxOutput",YYYY-MM-DD HH:MM,neo4j-index-node/SPKDATA,1510770660000,1510684260000,true
142,UPWARDS,Total Successful Deployments,COUNT,DAILY,DEPLOYMENT,RUNDECK,false,,,,SPKstartTime,SPKendTime,number,true,MATCH (n:RUNDECK:DATA) WHERE n.SPKvector = 'DEPLOYMENT' and n.SPKstatus='Success' RETURN count(n.SPKstatus) as totalDeploymentCount,YYYY-MM-DD HH:MM,neo4j-index-node/SPKDATA,1558809060000,1558722660000,true
161,UPWARDS,User with most Commits,COUNT,DAILY,DEVELOPMENT,GIT,false,,,,inSightsTime,inSightsTime,number,false,MATCH (n:GIT:DATA) RETURN count(n) as userCommitCount order by userCommitCount desc limit 1,YYYY-MM-DD HH:MM,GIT:DATA,1510338660000,1511395260000,true
181,UPWARDS,Total number Release Plan Estimate in Rally,SUM,DAILY,DEVELOPMENT,RALLY,false,,,,inSightsTime,inSightsTime,number,false,MATCH (n:RALLY_STORY) WHERE exists(n.releasePlanEstimate) RETURN sum(n.releasePlanEstimate) as releasePlanEstimate  order by releasePlanEstimate desc limit 1,YYYY-MM-DD HH:MM,RALLY_STORY,1510338660000,1511395260000,true
126,DOWNWARDS,Maximum Build Time,MINMAX,DAILY,BUILD,JENKINS,false,,,,SPKstartTime,SPKendTime,number,true,"MATCH (n:JENKINS:DATA) WHERE n.SPKvector = 'BUILD' and n.SPKstatus='Success' RETURN COALESCE(Max(toInt(n.SPKduration)),0) as minMaxOutput",YYYY-MM-DD HH:MM,JENKINS:DATA,1510770660000,1510684260000,true
127,DOWNWARDS,Minimum Build Time,MINMAX,DAILY,BUILD,JENKINS,false,,,,SPKstartTime,SPKendTime,number,true,"MATCH (n:JENKINS:DATA) WHERE n.SPKvector = 'BUILD' and n.SPKstatus='Success' RETURN COALESCE(Min(toInt(n.SPKduration)),0) as minMaxOutput",YYYY-MM-DD HH:MM,JENKINS:DATA,1510770660000,1510684260000,true
111,DOWNWARDS,Average Build Time,AVERAGE,DAILY,BUILD,JENKINS,false,,,,SPKstartTime,SPKendTime,number,true,"MATCH (n:JENKINS:DATA) WHERE n.SPKvector = 'BUILD' and n.SPKstatus='Success' RETURN COALESCE(Avg(toInt(n.SPKduration)),0) as minMaxOutput",YYYY-MM-DD HH:MM,JENKINS:DATA,1510770660000,1510684260000,true
